"";"id";"clust";"surrounded";"updated"
"1";47;345;TRUE;TRUE
"2";48;272;TRUE;FALSE
"3";49;272;TRUE;FALSE
"4";50;272;TRUE;FALSE
"5";51;272;TRUE;FALSE
"6";52;272;TRUE;FALSE
"7";58;345;TRUE;FALSE
"8";59;345;TRUE;FALSE
"9";60;345;TRUE;FALSE
"10";61;272;TRUE;FALSE
"11";62;272;TRUE;FALSE
"12";65;271;TRUE;TRUE
"13";66;272;TRUE;FALSE
"14";67;272;TRUE;FALSE
"15";68;272;TRUE;TRUE
"16";69;271;TRUE;TRUE
"17";71;271;TRUE;FALSE
"18";72;272;TRUE;FALSE
"19";73;345;TRUE;TRUE
"20";75;272;TRUE;FALSE
"21";76;272;TRUE;FALSE
"22";77;345;TRUE;FALSE
"23";78;272;TRUE;FALSE
"24";79;271;TRUE;TRUE
"25";81;271;TRUE;TRUE
"26";83;271;TRUE;FALSE
"27";84;272;TRUE;FALSE
"28";85;271;TRUE;FALSE
"29";87;272;TRUE;TRUE
"30";88;272;TRUE;FALSE
"31";89;271;TRUE;FALSE
"32";90;272;TRUE;FALSE
"33";91;272;TRUE;FALSE
"34";92;272;TRUE;FALSE
"35";93;272;TRUE;FALSE
"36";94;271;TRUE;FALSE
"37";95;271;TRUE;TRUE
"38";97;272;TRUE;TRUE
"39";106;276;TRUE;FALSE
"40";107;272;TRUE;FALSE
"41";117;363;TRUE;FALSE
"42";120;363;TRUE;FALSE
"43";121;363;TRUE;TRUE
"44";134;353;TRUE;TRUE
"45";136;363;TRUE;TRUE
"46";142;272;TRUE;TRUE
"47";147;929;TRUE;TRUE
"48";149;929;TRUE;FALSE
"49";152;271;TRUE;FALSE
"50";153;271;TRUE;FALSE
"51";165;271;TRUE;TRUE
"52";168;271;TRUE;FALSE
"53";171;271;TRUE;FALSE
"54";172;271;TRUE;FALSE
"55";173;271;TRUE;TRUE
"56";178;345;TRUE;TRUE
"57";180;272;TRUE;TRUE
"58";196;276;TRUE;FALSE
"59";229;271;TRUE;FALSE
"60";237;276;TRUE;TRUE
"61";239;276;TRUE;FALSE
"62";240;271;TRUE;TRUE
"63";251;353;TRUE;FALSE
"64";254;272;TRUE;TRUE
"65";262;353;TRUE;TRUE
"66";266;929;TRUE;FALSE
"67";268;929;TRUE;FALSE
"68";272;272;TRUE;FALSE
"69";274;929;TRUE;TRUE
"70";277;271;TRUE;TRUE
"71";283;276;TRUE;TRUE
"72";286;929;TRUE;TRUE
"73";287;929;TRUE;FALSE
"74";294;271;TRUE;FALSE
"75";295;929;TRUE;TRUE
"76";296;929;TRUE;FALSE
"77";299;345;TRUE;TRUE
"78";300;270;TRUE;FALSE
"79";303;272;TRUE;TRUE
"80";307;929;TRUE;FALSE
"81";310;353;TRUE;TRUE
"82";312;353;TRUE;FALSE
"83";314;353;TRUE;TRUE
"84";316;277;TRUE;TRUE
"85";319;353;TRUE;FALSE
"86";320;275;TRUE;FALSE
"87";321;929;TRUE;TRUE
"88";322;363;TRUE;TRUE
"89";324;353;TRUE;FALSE
"90";331;353;TRUE;TRUE
"91";333;353;TRUE;FALSE
"92";334;353;TRUE;FALSE
"93";343;363;TRUE;FALSE
"94";346;363;TRUE;FALSE
"95";349;275;TRUE;TRUE
"96";351;363;TRUE;TRUE
"97";353;353;TRUE;TRUE
"98";356;277;TRUE;FALSE
"99";360;929;TRUE;TRUE
"100";361;929;TRUE;TRUE
"101";364;353;TRUE;TRUE
"102";365;367;TRUE;FALSE
"103";366;929;TRUE;TRUE
"104";367;929;TRUE;FALSE
"105";370;929;TRUE;TRUE
"106";373;929;TRUE;FALSE
"107";375;929;TRUE;FALSE
"108";377;929;TRUE;FALSE
"109";379;929;TRUE;TRUE
"110";381;929;TRUE;TRUE
"111";383;929;TRUE;FALSE
"112";387;363;TRUE;FALSE
"113";390;275;TRUE;TRUE
"114";391;363;TRUE;TRUE
"115";392;270;TRUE;FALSE
"116";393;345;TRUE;TRUE
"117";394;276;TRUE;FALSE
"118";396;353;TRUE;TRUE
"119";397;353;TRUE;FALSE
"120";399;371;TRUE;TRUE
"121";402;363;TRUE;FALSE
"122";404;274;TRUE;FALSE
"123";409;353;TRUE;TRUE
"124";410;367;TRUE;TRUE
"125";413;363;TRUE;TRUE
"126";430;929;TRUE;FALSE
"127";431;929;TRUE;FALSE
"128";434;353;TRUE;FALSE
"129";438;353;TRUE;FALSE
"130";439;929;TRUE;TRUE
"131";440;363;TRUE;TRUE
"132";441;274;TRUE;TRUE
"133";442;353;TRUE;FALSE
"134";443;363;TRUE;FALSE
"135";445;363;TRUE;FALSE
"136";449;929;TRUE;FALSE
"137";451;363;TRUE;TRUE
"138";452;277;TRUE;FALSE
"139";453;276;TRUE;TRUE
"140";455;363;TRUE;FALSE
"141";456;363;TRUE;FALSE
"142";458;363;TRUE;FALSE
"143";460;363;TRUE;TRUE
"144";461;363;TRUE;FALSE
"145";462;363;TRUE;FALSE
"146";463;363;TRUE;FALSE
"147";464;363;TRUE;FALSE
"148";465;363;TRUE;TRUE
"149";466;363;TRUE;TRUE
"150";467;929;TRUE;FALSE
"151";468;363;TRUE;FALSE
"152";469;363;TRUE;TRUE
"153";470;363;TRUE;TRUE
"154";471;371;TRUE;FALSE
"155";474;363;TRUE;TRUE
"156";475;363;TRUE;TRUE
"157";476;276;TRUE;FALSE
"158";477;363;TRUE;TRUE
"159";478;363;TRUE;TRUE
"160";480;371;TRUE;FALSE
"161";481;363;TRUE;FALSE
"162";482;363;TRUE;FALSE
"163";484;276;TRUE;FALSE
"164";485;276;TRUE;FALSE
"165";488;363;TRUE;FALSE
"166";489;276;TRUE;FALSE
"167";490;363;TRUE;FALSE
"168";491;363;TRUE;FALSE
"169";492;363;TRUE;TRUE
"170";496;363;TRUE;TRUE
"171";498;363;TRUE;FALSE
"172";499;363;TRUE;FALSE
"173";500;363;TRUE;FALSE
"174";501;363;TRUE;FALSE
"175";502;363;TRUE;FALSE
"176";503;363;TRUE;FALSE
"177";504;363;TRUE;TRUE
"178";505;363;TRUE;TRUE
"179";506;366;TRUE;FALSE
"180";507;274;TRUE;TRUE
"181";509;929;TRUE;TRUE
